Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C46",0603,2,1nF,C1588
"C10, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C3, C30, C31, C32, C34, C36, C38, C4, C40, C42, C45, C48, C5, C50, C51, C52, C62, C8, C9",0603,34,100nF,C14663
C11,1206,1,10uF,C13585
"C12, C29, C33, C35, C37, C39, C41",0603,7,C_Small,
"C13, C14",0603,2,2.2uF ceramic low ESR,C23630
"C15, C7",0603,2,1uF,C15849
"C43, C47, C59",CP_Radial_D8.0mm_P3.50mm,3,C_Polarized_Small,
"C44, C49, C65",0603,3,10uF,C96446
C6,0603,1,470pF,C1620
"D1, D5",D_SOD-123,2,1N4148W,C81598
"D2, D3, D4",D_SOD-123F,3,D_Zener_Small,
"D6, D7, D8, D9",0603,4,LED_Small,C2286
FB1,0603,1,600R @ 100 MHz,C1002
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J10, J12, J13, J5",Amphenol_ACJS,4,ACJS-MV35-3,
"J11, J19, J2, J6, J7, J8",SMA_Amphenol_901-144_Vertical,6,Conn_Coaxial,
J14,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
"J18, J20",PinSocket_2x08_P2.54mm_Vertical,2,Conn_02x08_Odd_Even,
"J3, J9",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
J4,A-2014-2S-4-N-R,1,8P8C_Shielded,
L2,0603,1,L_Ferrite_Small,C1002
"R1, R2, R3, R4",0603,4,75,C4275
"R10, R12, R14, R15, R22, R23, R24, R29, R42, R71, R74, R75",0603,12,33,C23140
R11,0603,1,1.5k,C22843
"R13, R19, R51, R68, R69, R70",0603,6,10k,C15401
"R16, R17, R18, R20, R21, R25, R31, R34, R37, R43, R48, R49, R50, R52, R53, R56, R57, R60, R61, R62, R63, R64, R65, R66, R67, R72",0603,26,0,C21189
"R26, R44",0603,2,220,C22962
"R27, R45",0603,2,470,C23179
"R28, R32, R35, R39, R41, R46, R73",0603,7,R_Small,
"R30, R38",0603,2,2.2k,C4190
"R33, R36, R40, R47, R76",0603,5,22,C23345
"R5, R6, R7, R8",0603,4,49.9,C23185
"R54, R55, R58, R59",0603,4,4.7k,C23162
R9,0603,1,12.1k,C705723
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_THTPad_D1.5mm_Drill0.7mm,6,TestPoint,
U1,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,LAN8742A,C621424
"U10, U11, U12, U14, U6, U8, U9",SOT-23-5,7,74LVC1G17,C7836
U13,SOT-223,1,TLV1117-33,
U2,Untitled,1,KMS-1102NL,
U3,SOT-23-6,1,USBLC6-4SC6,
"U4, U7",DIP-8_W7.62mm,2,6N137,
U5,LQFP-144_20x20mm_P0.5mm,1,STM32H743ZIT6,C114408
"Y1, Y2",Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm,2,SG-210STF,C70560
Y3,Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm,1,SG-210STF - 24.576 MHz (or Interquip 1651-24575-BTBEYA),C3003263
