Designator,Mid X,Mid Y,Rotation,Layer
C1,171.1035,-127.1248,180.0,top
C10,111.1146,-113.919,270.0,top
C11,131.5811,-105.1284,180.0,top
C13,160.2831,-88.4914,270.0,top
C14,165.6555,-67.0792,0.0,top
C15,139.5095,-70.4218,90.0,top
C16,138.7817,-74.4198,0.0,top
C17,139.8615,-80.9346,270.0,top
C18,144.6875,-87.6278,0.0,top
C19,152.0411,-87.6532,180.0,top
C2,145.9738,-103.251,270.0,top
C20,156.4223,-87.7548,180.0,top
C21,162.4167,-87.0052,90.0,top
C22,165.6549,-78.1028,180.0,top
C23,165.6555,-65.606,180.0,top
C24,155.2539,-61.6566,270.0,top
C25,150.2247,-61.5804,270.0,top
C26,143.6969,-61.5544,270.0,top
C27,186.486,-79.769,270.0,top
C28,179.1851,-92.8924,180.0,top
C3,134.9339,-105.2554,270.0,top
C30,195.112,-109.0962,0.0,top
C31,141.6395,-100.9882,270.0,top
C32,179.5531,-50.7746,180.0,top
C34,195.4558,-66.3134,0.0,top
C36,126.0988,-88.3666,180.0,top
C38,132.0419,-71.5518,0.0,top
C4,135.0355,-96.0352,90.0,top
C40,132.03345,-58.8294,0.0,top
C42,132.03655,-46.164,0.0,top
C44,79.2366,-53.9691,270.0,top
C45,91.8604,-54.0199,270.0,top
C46,140.6235,-127.2772,0.0,top
C48,131.0386,-89.6366,180.0,top
C49,91.9226,-61.2772,270.0,top
C5,151.9773,-91.4632,90.0,top
C50,166.0146,-95.504,0.0,top
C51,93.4212,-61.2772,270.0,top
C52,100.6547,-107.3048,180.0,top
C6,156.0159,-93.2158,0.0,top
C62,103.7844,-64.4398,270.0,top
C65,102.2858,-64.4398,270.0,top
C7,159.2671,-92.6062,0.0,top
C8,156.9049,-98.2196,0.0,top
C9,148.6639,-99.642,180.0,top
D1,192.3931,-88.549,90.0,top
D5,192.7611,-46.4312,90.0,top
D6,160.8165,-50.239,270.0,top
D7,159.1401,-50.2136,270.0,top
D8,166.9887,-106.3984,90.0,top
D9,168.6397,-106.3984,90.0,top
FB1,132.0383,-100.7088,0.0,top
J1,178.8414,-102.87,0.0,top
J10,207.5815,-47.8282,180.0,top
J11,119.00635,-47.0276,270.0,top
J12,207.5573,-68.677,180.0,top
J13,207.2135,-111.4598,180.0,top
J14,180.8734,-68.1228,180.0,top
J18,72.7982,-55.5439,180.0,top
J2,93.5935,-104.0536,0.0,top
J20,146.9735,-40.2822,270.0,top
J3,190.9786,-78.5804,0.0,top
J4,159.0385,-136.5688,0.0,top
J5,207.2135,-89.946,180.0,top
J6,119.0376,-85.1154,0.0,top
J7,119.0117,-72.4154,270.0,top
J8,119.00325,-59.693,270.0,top
J9,138.3121,-101.6486,0.0,top
L2,85.8914,-52.4451,270.0,top
R1,145.3347,-114.6534,180.0,top
R10,147.1295,-94.5642,0.0,top
R11,144.5351,-90.1932,270.0,top
R12,150.4533,-90.6382,270.0,top
R13,146.3893,-91.895,270.0,top
R14,155.2539,-90.0916,270.0,top
R15,153.5267,-90.5996,270.0,top
R17,146.9227,-59.7,90.0,top
R19,187.9846,-79.769,270.0,top
